expression,force,flavor,can_express,notes
=a,strong,bouletic,1,p299 describes as 'optative' and 'used to signal that future event is desirable or probable'
=a,strong,deontic,1,examples in 300 indicates 'a' also have deontic use
ke,strong,hortative,1,"used to express a wish that something should happen, or advice on how something should be (300)"
me,strong,deontic,1,"used to form requests and to indicate something should or must be done (301), often used under imperaitve"
na,weak,irrealis,1,used to inidicate distant or uncertain future (302)
