expression,force,flavor,can_express,notes
k'ʷ ezi -iqi,weak,ability,1,translates to 'can' and require most prominant argument marked with At-Essive case(which also shows up in potential construction)
ko ň ’e-/ko ň ’er,weak,ability,1,"translates to can,know how (601)"
-eq’i,weak,ability,1,"translates to can,know how to (601)"
-ese-/-es-,weak,epistemic,1,"when attached by realis conditional suffix -yo, will only have realis conditional meaning. It can also marked with intentional future suffix =e (297)."
-aru-/-ru,strong,intentional,1," ""describes actions and events that are intended or planned by their agents""(298)"
