Expression,RunHash
"or(subset_eq(A, B), subset_eq(A, difference(A, B)))",48cb263181744988a7b32cd904885afa
"or(subset_eq(A, B), subset_eq(B, difference(A, A)))",b829c65b587241b9977bb1e8c39acb51
"or(subset_eq(A, B), subset_eq(B, difference(A, A)))",ae23a1067f394f4aa7b5ee524a1d53e5
"or(subset_eq(A, B), subset_eq(B, difference(A, A)))",b829c65b587241b9977bb1e8c39acb51
"or(subset_eq(A, B), equals(cardinality(A), cardinality(B)))",b0f42deeb61545b69dfaf1cb2ef40d80
"or(subset_eq(A, B), equals(cardinality(A), cardinality(B)))",d9abb0ef87a840e482e6362bbe99b6df
"or(subset_eq(A, B), equals(cardinality(A), cardinality(B)))",b0f42deeb61545b69dfaf1cb2ef40d80
"or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B)))",0fab9dae8df3453593fe977d1f6bef03
"or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B)))",925cecac5f9c4639ad79b9101c2f652e
"or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B)))",0fab9dae8df3453593fe977d1f6bef03
"or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A)))",401629095eb64bbc8760886cb553a92c
"or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A)))",e06da69e8c914c848a5efc5b99bc8f58
"or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A)))",401629095eb64bbc8760886cb553a92c
"or(subset_eq(B, A), not(subset_eq(A, B)))",cc09306e73674178a4cd544b0ff7f404
"or(subset_eq(B, A), subset_eq(A, difference(A, A)))",0a8cdda5b5df43aa8d75ed5a0fb8c8b5
"or(subset_eq(B, A), subset_eq(A, difference(A, A)))",0fc07175f67f49189026ec3cf49ea50b
"or(subset_eq(B, A), subset_eq(A, difference(A, A)))",0a8cdda5b5df43aa8d75ed5a0fb8c8b5
"or(subset_eq(B, A), subset_eq(A, difference(A, B)))",98cbeefa7c2a417994e36476fbcd54ba
"or(subset_eq(B, A), subset_eq(A, difference(A, B)))",5ecc9d8c3dc04ead823d4b3ae19bd746
"or(subset_eq(B, A), subset_eq(A, difference(A, B)))",98cbeefa7c2a417994e36476fbcd54ba
"or(subset_eq(B, A), equals(cardinality(A), cardinality(B)))",54651541813443799e543757615eaca9
"or(subset_eq(B, A), equals(cardinality(A), cardinality(B)))",2b8f763a4d904a16946a711559b42d2f
"or(subset_eq(B, A), equals(cardinality(A), cardinality(B)))",54651541813443799e543757615eaca9
"or(subset_eq(B, A), greater_than(cardinality(A), cardinality(B)))",870e15c22a2e49eb99dd05569029ab31
"or(subset_eq(B, A), greater_than(cardinality(A), cardinality(B)))",ce51160f4e38473e8d62b1cc0a187908
"or(subset_eq(B, A), greater_than(cardinality(A), cardinality(B)))",870e15c22a2e49eb99dd05569029ab31
"or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A)))",136a2676be0d43679577a6218c1b3c88
"or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A)))",58d7f552691d4725ae76c3823d1f5236
"or(subset_eq(B, A), greater_than(cardinality(B), cardinality(A)))",136a2676be0d43679577a6218c1b3c88
"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, A)))",eee90c1741704116a1235accd6a6a71c
"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",cb16a4d0b65647df83f68429352d331a
"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",d32fc22e96c2490885bd00cd0b290f49
"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",cb16a4d0b65647df83f68429352d331a
"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(B, difference(A, A)))",dc7e57dd14d447aa88ab85665aaa165d
"or(or(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",efba008bef584a86afca05b97e122ea5
"or(or(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",b656e93b1e884879906be527d6b5ea8d
"or(or(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B)))",efba008bef584a86afca05b97e122ea5
"or(or(subset_eq(A, B), subset_eq(B, A)), equals(cardinality(A), cardinality(B)))",23b772de96d24d2c9cc935f8ef2d3b46
"or(or(subset_eq(A, B), subset_eq(B, A)), equals(cardinality(A), cardinality(B)))",e2a432227a6a41bf98692b0afe88d4e4
"or(or(subset_eq(A, B), subset_eq(B, A)), equals(cardinality(A), cardinality(B)))",23b772de96d24d2c9cc935f8ef2d3b46
"not(and(subset_eq(A, B), subset_eq(B, A)))",7bf24602402a4a1382b5d31cc0475373
"or(not(subset_eq(A, B)), subset_eq(A, difference(A, A)))",cb487a852bb0407eb85d677325cad529
"or(not(subset_eq(A, B)), subset_eq(B, difference(A, A)))",c9621327593d49cb9084140505a70725
"or(not(subset_eq(B, A)), subset_eq(A, difference(A, A)))",aa8f344bb4fe43d4a21d028cd0895366
"or(not(subset_eq(B, A)), subset_eq(A, difference(A, B)))",8f768901536b49b6a5e964ead44305bf
"or(subset_eq(A, difference(A, A)), equals(cardinality(A), cardinality(B)))",b506ab13212648dc8e2e97bacc85be3e
"or(subset_eq(A, difference(A, A)), equals(cardinality(A), cardinality(B)))",3c42fbacb3e547d4b1a501dad25c4da5
"or(subset_eq(A, difference(A, A)), equals(cardinality(A), cardinality(B)))",b506ab13212648dc8e2e97bacc85be3e
"or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B)))",d59619c64c534f7f8eb6a4c5bf1c4f69
"or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B)))",0b2a3f9054b44d4db76c7f7acd828f24
"or(subset_eq(A, difference(A, A)), greater_than(cardinality(A), cardinality(B)))",d59619c64c534f7f8eb6a4c5bf1c4f69
"or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A)))",8abacb12fb9d46719883f852800b185c
"or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A)))",580c3db2a98f446dbf7e431f8f6c6175
"or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A)))",8abacb12fb9d46719883f852800b185c
"or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B)))",d90c0ece388f40e9aa17ef26b9762a74
"or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B)))",3e1127e4fb044571aae1f7ebc45256e8
"or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B)))",d90c0ece388f40e9aa17ef26b9762a74
"or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B)))",1ab0ce61401b4d2abdc17999bc19dffc
"or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B)))",489e1c1d2c98436ea0873e805a8891d1
"or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B)))",1ab0ce61401b4d2abdc17999bc19dffc
"or(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A)))",6407ceb8d248469690722c7472881d50
"or(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A)))",6c270a3a0dfd4f0ea5d7ecad1904372d
"or(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A)))",6407ceb8d248469690722c7472881d50
"or(subset_eq(B, difference(A, A)), equals(cardinality(A), cardinality(B)))",dfe96b26f09547c884bd7911287f3880
"or(subset_eq(B, difference(A, A)), equals(cardinality(A), cardinality(B)))",6ea32c4c98d14b0ca70082c225ea280e
"or(subset_eq(B, difference(A, A)), equals(cardinality(A), cardinality(B)))",dfe96b26f09547c884bd7911287f3880
"or(subset_eq(B, difference(A, A)), greater_than(cardinality(A), cardinality(B)))",bb962fef4d674bfc877994a0a3a0caed
"or(subset_eq(B, difference(A, A)), greater_than(cardinality(A), cardinality(B)))",31f866e27a164e5fa35013f2aedc5b3b
"or(subset_eq(B, difference(A, A)), greater_than(cardinality(A), cardinality(B)))",bb962fef4d674bfc877994a0a3a0caed
"or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A)))",0ede4e2c43834be7a5c3cfe2f05a7bc5
"or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A)))",bca67b96d5784d4d8f0870c5fa12e2f0
"or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A)))",0ede4e2c43834be7a5c3cfe2f05a7bc5
"not(greater_than(cardinality(B), cardinality(A)))",62a5b6a3f28b499084aafdc1cb5ccc6d
"not(greater_than(cardinality(B), cardinality(A)))",0d1e74a07eb34cdba6e87190f7016d80
"not(greater_than(cardinality(B), cardinality(A)))",62a5b6a3f28b499084aafdc1cb5ccc6d
"not(greater_than(cardinality(A), cardinality(B)))",fc92110d463143a6b37d119fdf9a95aa
"not(greater_than(cardinality(A), cardinality(B)))",fd88f63dc7d748bc8e78e24a9ac16f61
"not(greater_than(cardinality(A), cardinality(B)))",fc92110d463143a6b37d119fdf9a95aa
"not(equals(cardinality(A), cardinality(B)))",c9877d55bc3843a684469fa4de83e9e1
"not(equals(cardinality(A), cardinality(B)))",4abe07cd98aa4df386cb993c1b969b54
"not(equals(cardinality(A), cardinality(B)))",c9877d55bc3843a684469fa4de83e9e1
"not(subset_eq(A, difference(A, A)))",5f8478ba716f4db5b3ca6a8b23c85a34
"not(subset_eq(A, difference(A, B)))",d9d574f24a31495ab080d9a17990867f
"not(subset_eq(A, difference(A, B)))",6907b9c8ca0849369b14475acc3aa319
"not(subset_eq(A, difference(A, B)))",d9d574f24a31495ab080d9a17990867f
"not(subset_eq(B, difference(A, A)))",9b1e9800c7a649a3bb6e0686b01ab49d
"not(subset_eq(union(A, B), difference(A, A)))",4b093de915c142be925c847dff871d87
"subset_eq(A, index(cardinality(A), B))",e47d3a2cbeba4d20865bb2ef361e53c3
"subset_eq(A, index(cardinality(B), A))",242882d823294455ab11e9cb27a0a8a6
"subset_eq(A, index(cardinality(A), union(A, B)))",22134988ad01457a90a2a9dc4f3f8687
"subset_eq(A, index(cardinality(B), union(A, B)))",32bd6e2e89b4438dbb4aceea57f14cfb
"subset_eq(B, index(cardinality(A), B))",6c779a3b9ae14ff194860514742ef534
"subset_eq(B, index(cardinality(B), A))",a6553e2cf54146418090ba8dedd94017
"subset_eq(B, index(cardinality(A), union(A, B)))",7069f195259f4f738e8e133efc7a49ce
"subset_eq(B, index(cardinality(B), union(A, B)))",b7f62b7104c842018ccd9f2a7a755254
"subset_eq(union(A, B), index(cardinality(A), B))",0b8815b305b64c08901e0d8aab009d78
"subset_eq(union(A, B), index(cardinality(B), A))",b1bac02733dc48c2865f55381705a1e7
"subset_eq(intersection(A, B), index(cardinality(A), B))",a987e5955d554d729aa8ef73fde4f664
"subset_eq(intersection(A, B), index(cardinality(A), B))",96afa8da76414df6b643264d0536be0a
"subset_eq(intersection(A, B), index(cardinality(A), B))",a987e5955d554d729aa8ef73fde4f664
"subset_eq(intersection(A, B), index(cardinality(B), A))",2c4b80ae2c3b41e7b84b2a27fc1faf1b
"subset_eq(intersection(A, B), index(cardinality(B), A))",1bdc9b878cc447a79d7bf209d854bf83
"subset_eq(intersection(A, B), index(cardinality(B), A))",2c4b80ae2c3b41e7b84b2a27fc1faf1b
"subset_eq(intersection(A, B), index(cardinality(A), union(A, B)))",776c1bddbacc456a99071fd6a0ffb237
"subset_eq(intersection(A, B), index(cardinality(A), union(A, B)))",635b46d02caa46e4ab11807449e4403b
"subset_eq(intersection(A, B), index(cardinality(A), union(A, B)))",776c1bddbacc456a99071fd6a0ffb237
"subset_eq(intersection(A, B), index(cardinality(B), union(A, B)))",bfa0399a62204bf6bbd9b383df287fac
