index,term_expression,original_index
566,"subset_eq(intersection(B, index(cardinality(A), union(A, B))), intersection(A, index(cardinality(A), B)))",6960
567,"and(not(subset_eq(B, A)), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",324
568,"or(or(subset_eq(B, A), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), B))",3730
569,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), difference(difference(A, B), index(cardinality(B), A)))",8032
570,"and(subset_eq(index(cardinality(B), union(A, B)), B), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",2390
571,"or(or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",3913
572,"subset_eq(intersection(A, index(cardinality(A), B)), index(cardinality(difference(B, A)), B))",4839
573,"subset_eq(index(cardinality(intersection(A, B)), union(A, B)), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",8873
574,"subset_eq(index(cardinality(difference(B, A)), A), union(index(cardinality(B), A), index(cardinality(A), union(A, B))))",8707
575,"subset_eq(difference(A, index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), union(A, B)))",7336
576,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(intersection(A, B)), A))",8039
577,"subset_eq(intersection(intersection(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(B, A)), intersection(A, B)))",7039
578,"and(not(subset_eq(union(A, B), difference(A, A))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",1866
579,"subset_eq(intersection(B, index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), A))",6970
580,"subset_eq(index(cardinality(intersection(A, B)), A), difference(B, index(cardinality(B), A)))",8412
581,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), union(A, B))), index(cardinality(A), union(difference(A, B), difference(B, A))))",6414
582,"subset_eq(index(cardinality(A), union(A, B)), difference(B, index(cardinality(B), A)))",2292
583,"and(subset_eq(index(cardinality(A), B), difference(B, A)), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",2462
584,"subset_eq(difference(index(cardinality(A), B), index(cardinality(A), difference(B, A))), difference(index(cardinality(B), union(A, B)), A))",7791
585,"and(or(not(subset_eq(A, B)), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",1278
586,"subset_eq(index(cardinality(B), union(difference(A, B), difference(B, A))), index(cardinality(difference(A, A)), A))",8377
587,"subset_eq(difference(difference(A, B), index(cardinality(A), union(A, B))), index(cardinality(difference(A, A)), union(A, B)))",7573
588,"and(subset_eq(A, index(cardinality(A), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), A))",1882
589,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), difference(index(cardinality(B), union(A, B)), B))",8020
590,"subset_eq(index(cardinality(B), union(A, B)), difference(A, index(cardinality(B), difference(A, B))))",5444
591,"or(subset_eq(B, difference(A, A)), greater_than(cardinality(difference(B, A)), cardinality(A)))",3052
592,"subset_eq(index(cardinality(B), A), intersection(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",2690
593,"and(subset_eq(index(cardinality(B), union(A, B)), A), subset_eq(index(cardinality(B), difference(A, B)), B))",2343
594,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), union(index(cardinality(A), B), index(cardinality(B), A)))",6569
595,"and(and(not(subset_eq(A, B)), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(B), union(A, B)), A))",522
596,"and(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), greater_than(cardinality(B), cardinality(difference(A, B))))",1481
597,"subset_eq(index(cardinality(difference(B, A)), A), index(cardinality(difference(A, A)), intersection(A, B)))",8744
598,"subset_eq(intersection(intersection(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), intersection(A, B)))",7038
599,"and(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), greater_than(cardinality(A), cardinality(difference(B, A))))",2033
600,"or(subset_eq(difference(B, A), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",4664
601,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), difference(union(A, B), index(cardinality(A), B)))",9060
602,"and(not(subset_eq(A, B)), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), A)))",257
603,"or(subset_eq(index(cardinality(B), A), index(cardinality(A), union(A, B))), greater_than(cardinality(difference(A, B)), cardinality(B)))",5044
604,"or(and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A))), or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))))",3337
605,"subset_eq(difference(index(cardinality(A), union(A, B)), intersection(A, B)), difference(A, index(cardinality(B), A)))",7136
606,"and(subset_eq(index(cardinality(B), union(A, B)), B), greater_than(cardinality(B), cardinality(difference(A, B))))",2402
607,"or(subset_eq(difference(B, A), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), difference(A, B)))",4626
608,"or(subset_eq(index(cardinality(A), union(A, B)), B), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4782
609,"subset_eq(index(cardinality(difference(A, A)), intersection(A, B)), difference(A, index(cardinality(A), union(A, B))))",8953
610,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), B)), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",8103
611,"or(and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(union(A, B), index(cardinality(A), B)))",3350
612,"and(subset_eq(difference(A, B), index(cardinality(B), A)), equals(cardinality(B), cardinality(difference(A, B))))",2045
613,"subset_eq(index(cardinality(difference(B, A)), A), intersection(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",8716
614,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), difference(B, index(cardinality(A), difference(B, A))))",8027
615,"or(subset_eq(index(cardinality(B), A), B), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",4730
616,"and(or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)))",841
617,"and(or(not(subset_eq(B, A)), subset_eq(A, difference(A, A))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",1345
618,"or(subset_eq(difference(B, A), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",4676
619,"or(and(subset_eq(A, B), subset_eq(B, A)), subset_eq(B, index(cardinality(B), union(A, B))))",2908
620,"subset_eq(intersection(A, index(cardinality(A), union(A, B))), union(index(cardinality(A), B), index(cardinality(B), union(A, B))))",6885
621,"subset_eq(difference(B, index(cardinality(A), union(A, B))), index(cardinality(difference(A, B)), B))",7388
622,"or(subset_eq(intersection(A, B), index(cardinality(B), A)), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",4405
623,"and(or(subset_eq(A, B), subset_eq(A, difference(A, B))), or(subset_eq(B, difference(A, A)), greater_than(cardinality(B), cardinality(A))))",690
624,"subset_eq(union(intersection(A, B), index(cardinality(B), A)), difference(difference(A, B), index(cardinality(A), union(A, B))))",5699
625,"or(not(or(subset_eq(A, B), subset_eq(B, A))), subset_eq(A, index(cardinality(A), B)))",3245
626,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), difference(index(cardinality(B), union(A, B)), intersection(A, B)))",7935
627,"subset_eq(union(difference(A, B), index(cardinality(A), union(A, B))), difference(A, index(cardinality(B), union(A, B))))",5945
628,"subset_eq(index(cardinality(intersection(A, B)), A), difference(index(cardinality(B), A), index(cardinality(B), difference(A, B))))",8419
629,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), index(cardinality(difference(A, A)), B))",9327
630,"subset_eq(index(cardinality(difference(B, A)), intersection(A, B)), difference(A, index(cardinality(B), union(A, B))))",9237
631,"subset_eq(index(cardinality(B), union(difference(A, B), difference(B, A))), intersection(A, index(cardinality(B), union(A, B))))",8352
632,"and(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), not(or(subset_eq(A, B), subset_eq(B, A))))",470
633,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), index(cardinality(difference(A, A)), A))",6355
634,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), difference(difference(A, B), index(cardinality(B), union(A, B))))",6461
635,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), difference(difference(A, B), index(cardinality(A), union(A, B))))",6335
636,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), union(A, index(cardinality(A), union(A, B))))",9274
637,"and(not(and(subset_eq(A, B), subset_eq(B, A))), subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)))",1201
638,"and(or(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), B), A))",1372
639,"and(not(subset_eq(A, B)), greater_than(cardinality(difference(B, A)), cardinality(A)))",193
640,"subset_eq(difference(difference(A, B), index(cardinality(B), difference(A, B))), index(cardinality(B), union(difference(A, B), difference(B, A))))",7608
641,"subset_eq(index(cardinality(B), A), index(cardinality(difference(B, A)), union(A, B)))",5384
642,"subset_eq(difference(index(cardinality(B), union(A, B)), intersection(A, B)), index(cardinality(intersection(A, B)), difference(B, A)))",7188
643,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), union(difference(B, A), index(cardinality(A), union(A, B))))",9032
644,"subset_eq(union(intersection(A, B), index(cardinality(A), union(A, B))), difference(intersection(A, B), index(cardinality(B), union(A, B))))",2507
645,"or(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), greater_than(cardinality(difference(A, B)), cardinality(B)))",3891
646,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), difference(union(A, B), index(cardinality(A), union(A, B))))",9310
647,"or(subset_eq(B, index(cardinality(A), B)), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",4219
648,"subset_eq(difference(A, index(cardinality(A), B)), index(cardinality(difference(B, A)), B))",7254
649,"subset_eq(difference(union(A, B), index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), union(A, B)))",7447
650,"subset_eq(index(cardinality(intersection(A, B)), difference(A, B)), index(cardinality(B), union(A, B)))",5584
651,"or(and(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(difference(A, B), index(cardinality(B), A)))",3479
652,"or(subset_eq(A, index(cardinality(A), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), B)))",4142
653,"or(and(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(A, index(cardinality(B), union(A, B))))",3473
654,"or(subset_eq(intersection(A, B), index(cardinality(B), A)), subset_eq(difference(B, A), index(cardinality(A), union(A, B))))",4386
655,"subset_eq(index(cardinality(A), union(A, B)), intersection(intersection(A, B), index(cardinality(B), union(A, B))))",991
656,"or(equals(cardinality(intersection(A, B)), cardinality(difference(B, A))), greater_than(cardinality(difference(B, A)), cardinality(A)))",5177
657,"not(subset_eq(difference(B, A), index(cardinality(A), difference(B, A))))",5219
658,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), difference(index(cardinality(B), A), B))",8153
659,"subset_eq(index(cardinality(B), union(A, B)), index(cardinality(difference(A, A)), difference(B, A)))",5478
660,"subset_eq(index(cardinality(intersection(A, B)), union(A, B)), index(cardinality(difference(B, A)), difference(A, B)))",8870
661,"or(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), greater_than(cardinality(difference(B, A)), cardinality(A)))",3576
662,"and(subset_eq(difference(A, B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), A))",2053
663,"or(and(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(B, index(cardinality(A), union(A, B))))",3572
664,"subset_eq(difference(A, B), difference(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))))",2079
665,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), union(A, B))), difference(union(difference(A, B), difference(B, A)), index(cardinality(B), difference(A, B))))",6279
666,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), difference(difference(B, A), index(cardinality(B), union(A, B))))",9072
667,"subset_eq(difference(B, A), index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))))",5331
668,"or(subset_eq(A, index(cardinality(A), B)), subset_eq(index(cardinality(A), B), difference(B, A)))",4072
669,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))))",8057
670,"and(subset_eq(difference(B, A), index(cardinality(A), B)), equals(cardinality(A), cardinality(difference(B, A))))",2111
671,"subset_eq(difference(intersection(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), union(A, B)))",7532
672,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))), intersection(intersection(A, B), index(cardinality(A), union(A, B))))",8199
673,"and(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(intersection(A, B), index(cardinality(A), union(A, B))))",632
674,"and(subset_eq(index(cardinality(B), union(A, B)), difference(B, A)), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(A), union(A, B))))",2620
675,"subset_eq(union(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), union(index(cardinality(B), A), index(cardinality(A), union(A, B))))",6842
676,"or(subset_eq(B, index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), difference(B, A))))",4315
677,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), difference(B, index(cardinality(A), difference(B, A))))",7980
678,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(A), B)), index(cardinality(difference(A, B)), union(A, B)))",7720
679,"or(subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",5147
680,"and(not(subset_eq(B, A)), subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)))",309
681,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), difference(B, index(cardinality(A), B)))",6684
682,"subset_eq(difference(A, index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), union(A, B)))",7322
683,"and(or(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(intersection(A, B), index(cardinality(A), union(A, B))))",871
684,"and(not(subset_eq(A, difference(A, B))), subset_eq(difference(B, A), index(cardinality(A), B)))",1757
685,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), difference(difference(A, B), index(cardinality(B), A)))",8163
686,"and(subset_eq(intersection(A, B), index(cardinality(B), A)), subset_eq(index(cardinality(A), union(A, B)), B))",1943
687,"and(subset_eq(intersection(A, B), index(cardinality(A), B)), subset_eq(index(cardinality(A), union(A, B)), B))",1911
688,"and(or(subset_eq(B, A), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), A))",1015
689,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), index(cardinality(difference(A, A)), A))",9084
690,"subset_eq(index(cardinality(difference(A, B)), difference(B, A)), index(cardinality(intersection(A, B)), union(A, B)))",9138
691,"or(subset_eq(intersection(A, B), index(cardinality(B), A)), subset_eq(index(cardinality(B), union(A, B)), union(difference(A, B), difference(B, A))))",4407
692,"and(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",807
693,"and(subset_eq(A, B), greater_than(cardinality(A), cardinality(difference(B, A))))",151
694,"and(or(subset_eq(B, difference(A, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), A))",1555
695,"subset_eq(index(cardinality(difference(A, B)), difference(B, A)), index(cardinality(difference(B, A)), B))",9137
696,"subset_eq(difference(index(cardinality(A), union(A, B)), intersection(A, B)), union(index(cardinality(A), B), index(cardinality(B), difference(A, B))))",7128
697,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), index(cardinality(difference(A, B)), difference(B, A)))",6184
698,"or(not(equals(cardinality(A), cardinality(B))), subset_eq(difference(B, A), index(cardinality(A), union(A, B))))",4033
699,"and(not(greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",1613
700,"and(subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",2721
701,"or(subset_eq(difference(A, B), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",4577
702,"or(subset_eq(A, difference(A, B)), not(equals(cardinality(A), cardinality(B))))",2989
703,"or(and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",3374
704,"and(subset_eq(index(cardinality(B), A), index(cardinality(B), difference(A, B))), greater_than(cardinality(A), cardinality(difference(B, A))))",2711
705,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), union(A, B))), union(union(difference(A, B), difference(B, A)), index(cardinality(B), A)))",6259
706,"or(or(subset_eq(A, difference(A, A)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), A))",3833
707,"subset_eq(index(cardinality(difference(A, B)), B), union(difference(B, A), index(cardinality(B), union(A, B))))",8648
708,"and(or(subset_eq(B, A), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), A)))",964
709,"and(subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)), equals(cardinality(A), cardinality(difference(B, A))))",2792
710,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), union(index(cardinality(B), A), index(cardinality(A), difference(B, A))))",6669
711,"subset_eq(difference(B, index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), A))",7412
712,"and(not(subset_eq(A, B)), subset_eq(index(cardinality(A), union(A, B)), difference(A, B)))",234
713,"subset_eq(index(cardinality(difference(B, A)), difference(A, B)), difference(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))))",9258
714,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), intersection(A, index(cardinality(A), union(A, B))))",9293
715,"or(or(subset_eq(A, difference(A, A)), subset_eq(B, difference(A, A))), subset_eq(union(difference(A, B), difference(B, A)), index(cardinality(B), A)))",3237
716,"or(subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)), equals(cardinality(A), cardinality(difference(B, A))))",4938
717,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), difference(A, B))), index(cardinality(B), union(difference(A, B), difference(B, A))))",6817
718,"and(subset_eq(index(cardinality(B), union(A, B)), difference(B, A)), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))))",2618
719,"or(and(not(subset_eq(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(union(A, B), index(cardinality(A), B)))",3308
720,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))))",6116
721,"subset_eq(difference(intersection(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(B, A)), union(A, B)))",7536
722,"subset_eq(B, difference(difference(B, A), index(cardinality(A), B)))",355
723,"subset_eq(index(cardinality(intersection(A, B)), B), union(A, index(cardinality(A), B)))",8446
724,"subset_eq(difference(union(A, B), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), difference(A, B)))",7456
725,"subset_eq(union(intersection(A, B), index(cardinality(A), B)), difference(index(cardinality(A), union(A, B)), index(cardinality(B), A)))",5734
726,"and(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), A))",1466
727,"and(subset_eq(index(cardinality(B), difference(A, B)), B), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",2434
728,"subset_eq(union(intersection(A, B), index(cardinality(A), B)), index(cardinality(difference(A, A)), A))",5741
729,"subset_eq(difference(difference(A, B), index(cardinality(B), A)), index(cardinality(difference(A, A)), difference(A, B)))",7552
730,"and(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(index(cardinality(A), B), index(cardinality(A), union(A, B))))",652
731,"and(subset_eq(intersection(A, B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",1991
732,"and(not(subset_eq(A, difference(A, A))), subset_eq(index(cardinality(B), difference(A, B)), B))",1712
733,"subset_eq(index(cardinality(difference(B, A)), B), index(cardinality(difference(A, A)), A))",8805
734,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)))",9314
735,"and(subset_eq(B, A), not(subset_eq(A, difference(A, A))))",154
736,"subset_eq(difference(index(cardinality(B), A), B), index(cardinality(difference(B, A)), union(A, B)))",7050
737,"and(not(subset_eq(B, A)), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(A), union(A, B))))",334
738,"and(subset_eq(A, B), greater_than(cardinality(difference(B, A)), cardinality(A)))",152
739,"subset_eq(intersection(A, index(cardinality(A), union(A, B))), index(cardinality(difference(A, B)), intersection(A, B)))",6909
740,"and(not(greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), A))",1626
741,"or(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",3875
742,"and(not(equals(cardinality(A), cardinality(B))), subset_eq(difference(A, B), index(cardinality(B), difference(A, B))))",1187
743,"subset_eq(index(cardinality(difference(B, A)), B), index(cardinality(difference(A, A)), difference(B, A)))",8811
744,"subset_eq(index(cardinality(difference(A, B)), B), index(cardinality(difference(A, B)), A))",8683
745,"or(subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",5121
746,"and(subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",2730
747,"subset_eq(intersection(B, index(cardinality(B), union(A, B))), difference(index(cardinality(A), union(A, B)), A))",6998
748,"or(subset_eq(index(cardinality(B), union(A, B)), difference(B, A)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4990
749,"subset_eq(union(intersection(A, B), index(cardinality(B), A)), index(cardinality(difference(B, A)), A))",5776
750,"and(greater_than(cardinality(A), cardinality(B)), subset_eq(B, index(cardinality(B), union(A, B))))",394
751,"or(and(not(subset_eq(A, B)), subset_eq(A, difference(A, B))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",3288
752,"or(subset_eq(difference(A, B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",4535
753,"and(or(subset_eq(A, B), subset_eq(B, difference(A, A))), not(subset_eq(A, difference(A, A))))",731
754,"or(subset_eq(intersection(A, B), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), A))",4471
755,"subset_eq(union(intersection(A, B), index(cardinality(A), B)), index(cardinality(difference(A, A)), intersection(A, B)))",5749
756,"subset_eq(difference(difference(A, B), index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), union(A, B)))",7592
757,"subset_eq(union(A, index(cardinality(A), union(A, B))), union(difference(A, B), index(cardinality(A), B)))",5643
758,"and(subset_eq(index(cardinality(A), B), difference(B, A)), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",2467
759,"subset_eq(index(cardinality(intersection(A, B)), difference(B, A)), union(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",8908
760,"or(and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",3370
761,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))), index(cardinality(A), union(difference(A, B), difference(B, A))))",8173
762,"or(and(not(subset_eq(B, A)), greater_than(cardinality(A), cardinality(B))), greater_than(cardinality(difference(B, A)), cardinality(A)))",3461
763,"and(or(not(subset_eq(A, B)), subset_eq(B, difference(A, A))), subset_eq(index(cardinality(B), A), B))",1287
764,"and(or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), B), difference(B, A)))",1444
765,"or(and(subset_eq(B, A), not(subset_eq(A, B))), or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A))))",3214
766,"or(subset_eq(index(cardinality(B), A), index(cardinality(A), union(A, B))), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",3400
767,"subset_eq(difference(index(cardinality(A), B), A), difference(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))))",7087
768,"or(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",3675
769,"or(or(subset_eq(A, B), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",3619
770,"subset_eq(index(cardinality(difference(A, B)), B), index(cardinality(difference(A, B)), difference(B, A)))",8692
771,"or(subset_eq(B, A), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",2900
772,"subset_eq(difference(union(difference(A, B), difference(B, A)), index(cardinality(A), B)), index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))))",7722
773,"not(or(or(subset_eq(A, B), subset_eq(B, A)), subset_eq(A, difference(A, B))))",472
774,"subset_eq(index(cardinality(intersection(A, B)), index(cardinality(B), union(A, B))), union(A, index(cardinality(A), union(A, B))))",9360
775,"or(and(subset_eq(B, A), not(subset_eq(A, B))), subset_eq(intersection(A, B), index(cardinality(B), union(A, B))))",3225
776,"or(subset_eq(index(cardinality(A), union(A, B)), B), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(A), B)))",4773
777,"subset_eq(difference(index(cardinality(A), B), A), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",7096
778,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), difference(A, B)))",6651
779,"subset_eq(intersection(A, index(cardinality(A), B)), index(cardinality(A), union(A, B)))",3994
780,"subset_eq(index(cardinality(difference(A, B)), B), intersection(A, index(cardinality(B), union(A, B))))",8655
781,"or(or(subset_eq(A, difference(A, B)), equals(cardinality(A), cardinality(B))), greater_than(cardinality(difference(B, A)), cardinality(A)))",3892
782,"and(not(greater_than(cardinality(B), cardinality(A))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",913
783,"not(subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",5239
784,"or(subset_eq(intersection(A, B), index(cardinality(B), A)), subset_eq(difference(B, A), index(cardinality(A), B)))",4385
785,"or(and(not(subset_eq(A, B)), equals(cardinality(A), cardinality(B))), subset_eq(B, index(cardinality(A), union(A, B))))",3306
786,"or(subset_eq(A, B), subset_eq(intersection(A, B), index(cardinality(A), B)))",2830
