expression,force,flavor,can_express,lexical,polarity,syntactically_negated,full_form,notes
... dai,strong,deontic,?,,positive,no,... dai,sentence final particle
... dai,weak necessity,deontic,?,,positive,no,... dai,sentence final particle
... dai,weak,deontic,1,,positive,no,... dai,sentence final particle
... dai,strong,teleological,?,,positive,no,... dai,sentence final particle
... dai,weak necessity,teleological,?,,positive,no,... dai,sentence final particle
... dai,weak,teleological,1,,positive,no,... dai,sentence final particle
... dai,strong,circumstantial,?,,positive,no,... dai,sentence final particle
... dai,weak,circumstantial,1,,positive,no,... dai,sentence final particle
... dai,strong,bouletic,?,,positive,no,... dai,sentence final particle
saamaat,strong,epistemic,?,,positive,no,saamaat,
saamaat,weak necessity,epistemic,?,,positive,no,saamaat,
saamaat,weak,epistemic,?,,positive,no,saamaat,
saamaat,strong,deontic,?,,positive,no,saamaat,
saamaat,weak necessity,deontic,?,,positive,no,saamaat,
saamaat,weak,deontic,?,,positive,no,saamaat,
saamaat,strong,teleological,?,,positive,no,saamaat,
saamaat,weak necessity,teleological,?,,positive,no,saamaat,
saamaat,weak,teleological,1,,positive,no,saamaat,
saamaat,strong,circumstantial,?,,positive,no,saamaat,
saamaat,weak,circumstantial,1,,positive,no,saamaat,
saamaat,strong,bouletic,?,,positive,no,saamaat,
Kong ca,strong,epistemic,?,,positive,no,Kong ca,ca is required for all elicited contexts
Kong ca,weak necessity,epistemic,?,,positive,no,Kong ca,
Kong ca,weak,epistemic,1,,positive,no,Kong ca,
Kong ca,strong,deontic,?,,positive,no,Kong ca,
Kong ca,weak necessity,deontic,?,,positive,no,Kong ca,
Kong ca,weak,deontic,0,,positive,no,Kong ca,
Kong ca,strong,teleological,?,,positive,no,Kong ca,
Kong ca,weak necessity,teleological,0,,positive,no,Kong ca,
Kong ca,weak,teleological,?,,positive,no,Kong ca,
Kong ca,strong,circumstantial,?,,positive,no,Kong ca,
Kong ca,weak,circumstantial,?,,positive,no,Kong ca,
Kong ca,strong,bouletic,?,,positive,no,Kong ca,
saamaat... dai,strong,epistemic,?,FALSE,positive,no,saamaat... dai,
saamaat... dai,weak necessity,epistemic,?,FALSE,positive,no,saamaat... dai,
saamaat... dai,weak,epistemic,?,FALSE,positive,no,saamaat... dai,
saamaat... dai,strong,deontic,?,FALSE,positive,no,saamaat... dai,
saamaat... dai,weak necessity,deontic,?,FALSE,positive,no,saamaat... dai,
saamaat... dai,weak,deontic,?,FALSE,positive,no,saamaat... dai,
saamaat... dai,strong,teleological,?,FALSE,positive,no,saamaat... dai,
saamaat... dai,weak necessity,teleological,?,FALSE,positive,no,saamaat... dai,
saamaat... dai,weak,teleological,1,FALSE,positive,no,saamaat... dai,
