LANG,ITEM,DETER,PERSON,neg.frag,spec.know,spec.unkn,irr.nonsp,question,condit,indir.neg,compar,dir.neg,free.ch
YAKUT,25b,1,1,6,6,6,6,6,6,6,6,6,1
YAKUT,25d,1,1,1,6,6,6,6,6,1,1,1,1
YAKUT,25em,1,1,6,6,6,1,1,1,6,6,6,6
YAKUT,25er,1,1,6,1,1,6,6,6,6,6,6,6
HUNGARIAN,26a,1,1,6,6,6,6,6,1,1,1,6,1
HUNGARIAN,26s,0,1,1,6,6,6,6,6,6,6,1,6
HUNGARIAN,26v,1,1,6,1,1,1,1,1,1,9,9,9
FINNISH,27e,1,0,6,1,6,6,6,6,6,6,6,6
FINNISH,27h,1,1,6,6,6,6,6,1,6,1,6,1
FINNISH,27ka,1,1,6,6,6,6,1,6,1,1,1,6
FINNISH,27ki,1,1,6,6,1,1,1,1,6,6,6,6
NANAY,28d,1,1,1,6,6,1,1,1,1,1,1,6
NANAY,28dx,1,1,6,6,6,6,6,6,6,6,6,1
NANAY,28n,1,1,6,1,1,6,6,6,6,6,6,6
LEZGIAN,29WH,1,1,6,1,1,1,1,1,6,6,6,6
LEZGIAN,29X,1,1,1,6,6,6,6,6,1,6,1,6
LEZGIAN,29xa,1,1,6,6,6,6,6,6,6,1,6,1
MALTESE,30e,1,1,1,6,6,6,6,6,1,1,1,6
MALTESE,30x,1,1,6,1,1,1,1,1,6,6,6,6
HEBREW,31a,1,1,1,6,6,6,6,6,1,6,1,6
HEBREW,31i,0,1,6,6,6,6,1,1,1,6,1,6
HEBREW,31k,1,0,6,6,6,6,6,6,6,1,6,1
HEBREW,31s,1,1,6,1,1,1,1,1,1,6,6,6
HAUSA,32k,1,1,6,6,6,6,6,6,1,1,1,1
HAUSA,32w,1,1,6,1,1,1,1,1,6,6,6,6
SWAHILI,33CL,1,1,6,6,6,6,1,1,1,1,1,1
SWAHILI,33GN,1,1,6,1,1,1,1,1,1,6,1,6
GEORGIAN,34a,1,1,1,6,6,1,1,1,6,6,1,6
GEORGIAN,34m,1,1,6,6,6,1,1,1,1,1,6,6
GEORGIAN,34y,1,1,6,1,1,6,6,6,6,6,6,6
KANNADA,35a,1,1,6,6,6,1,1,1,6,6,6,6
KANNADA,35o,1,1,6,6,1,6,6,6,6,6,6,6
KANNADA,35u,1,1,6,6,6,6,6,6,1,1,1,1
CHINESE,36b,1,1,6,6,6,1,1,1,1,6,1,6
CHINESE,36GN,0,1,6,1,1,6,6,6,6,6,6,6
CHINESE,36r,1,0,6,6,6,6,6,6,1,1,1,1
CHINESE,36y,1,1,6,6,6,6,6,6,6,6,1,6
QUECHUA,37b,0,1,6,1,1,6,6,6,6,6,6,6
QUECHUA,37p,0,1,6,6,6,1,1,1,1,1,1,1
JAPANESE,38d,1,1,6,6,6,6,6,6,6,6,6,1
JAPANESE,38k,1,1,6,1,1,1,1,1,6,6,6,6
JAPANESE,38m,1,1,1,6,6,6,6,6,1,1,1,6
KOREAN,39b,1,1,6,1,1,1,1,1,1,6,6,6
KOREAN,39n,1,1,6,6,6,6,6,6,6,6,6,1
KOREAN,39t,1,1,1,6,6,6,6,6,1,1,1,6
BASQUE,40ba,1,1,6,1,6,6,6,6,6,6,6,6
BASQUE,40bi,0,1,6,6,1,1,6,6,6,6,6,6
BASQUE,40e,1,1,6,6,6,6,6,6,6,1,6,1
BASQUE,40i,0,1,1,6,6,6,1,1,1,1,1,6
