language,complexity,accuracy,distortion
1,1.507609427600924,0.041933661208248374,1.4930996558207008
2,2.2457375526046555,0.14358186662631311,1.391451450402636
3,4.311516143899407,0.5241047603607054,1.0109285566682438
4,3.0201653542936473,0.3234902944440794,1.2115430225848698
5,2.460049787964074,0.18117625842772966,1.3538570586012195
6,3.7991441247713826,0.5322925532717129,1.0027407637572363
7,2.8662165834634266,0.18815703375528425,1.346876283273665
8,2.984760033328543,0.5669060786734983,0.9681272383554509
9,2.2861403368216813,0.16779887233272817,1.367234444696221
10,2.1178043875655757,0.06834561284090146,1.4666877041880477
11,2.107214747692918,0.1400670870490366,1.3949662299799126
12,1.766484060051873,0.10085969047881349,1.4341736265501357
13,3.4877679947411284,0.5182314110107722,1.016801906018177
14,3.5463362185063083,0.6140033690953839,0.9210299479335653
15,2.338222868563742,0.15124012807457632,1.3837931889543729
16,2.7593036808957656,0.2593519248869418,1.2756813921420074
17,3.0663794267096236,0.20986976627741072,1.3251635507515385
18,1.8710116771984744,0.12237286669502723,1.412660450333922
19,3.4333154750734245,0.26869088628663995,1.2663424307423092
20,3.480748378320653,0.3652543882939394,1.1697789287350098
21,2.290951955273867,0.25332205453051415,1.281711262498435
22,1.8625744961726571,0.08954291448193619,1.445490402547013
23,1.833727489030406,0.5152551853256124,1.0197781317033368
24,2.941831657014344,0.20289551509145287,1.3321378019374963
25,2.480986389180483,0.2221008635572872,1.312932453471662
26,2.5377534826910644,0.36262602964707114,1.172407287381878
27,3.6937695647682514,0.3523904909185731,1.182642826110376
28,3.0207188996804835,0.349950844548335,1.1850824724806142
29,2.5225881589151236,0.561096706757775,0.9739366102711742
30,1.5764467865346887,0.06762400363450993,1.4674093133944393
31,2.2836557182253685,0.18038018221227503,1.3546531348166742
32,3.4284028432376488,0.4375974034099128,1.0974359136190364
33,2.4115328636160154,0.09711157314003849,1.4379217438889107
34,2.308848963786218,0.12315784104908989,1.4118754759798593
35,2.5951031151755437,0.30694234907094486,1.2280909679580043
36,2.669883552233107,0.3362765316701788,1.1987567853587704
37,2.432415331695836,0.22056831136454402,1.3144650056644052
38,2.7616605543847417,0.35733098220101667,1.1777023348279325
39,2.259170262292347,0.151711888553546,1.3833214284754032
40,1.8464904764748251,0.07817032304542337,1.4568629939835258
41,2.338263299162927,0.1971437992812204,1.3378895177477288
42,3.4988697341010244,0.48499445943042563,1.0500388575985236
43,2.7797066376342503,0.20124153396220912,1.33379178306674
44,4.535147713676173,0.7274392767100748,0.8075940403188744
45,2.7001558668709187,0.21197049555189285,1.3230628214770563
46,2.8366793234638124,0.25902284636240314,1.276010470666546
47,4.24845517368677,0.5449601206993693,0.9900731963295799
48,2.9812899282887653,0.20188253871249007,1.3331507783164591
49,1.6384029739664108,0.19616673073830349,1.3388665862906457
50,2.399399084753968,0.3101970217233925,1.2248362953055567
51,4.61619256480189,0.97780366222461,0.5572296548043392
