expression,force,flavor,can_express,polarity,syntactically_negated,full_form,notes
navernoje,strong,deontic,?,positive,no,navernoje,
navernoje,weak necessity,deontic,?,positive,no,navernoje,
navernoje,weak,deontic,?,positive,no,navernoje,
navernoje,strong,teleological,?,positive,no,navernoje,
navernoje,weak necessity,teleological,?,positive,no,navernoje,
navernoje,weak,teleological,?,positive,no,navernoje,
navernoje,strong,circumstantial,?,positive,no,navernoje,
navernoje,weak,circumstantial,?,positive,no,navernoje,
navernoje,strong,bouletic,?,positive,no,navernoje,
xočet,strong,epistemic,?,positive,no,xočet,
xočet,weak necessity,epistemic,?,positive,no,xočet,
xočet,weak,epistemic,?,positive,no,xočet,
xočet,strong,deontic,?,positive,no,xočet,
xočet,weak necessity,deontic,?,positive,no,xočet,
xočet,weak,deontic,?,positive,no,xočet,
xočet,strong,teleological,?,positive,no,xočet,
xočet,weak necessity,teleological,?,positive,no,xočet,
xočet,weak,teleological,?,positive,no,xočet,
xočet,strong,circumstantial,?,positive,no,xočet,
xočet,weak,circumstantial,?,positive,no,xočet,
xočet,strong,bouletic,1,positive,no,xočet,
možet,strong,epistemic,1,negative,low,možet ne,
možet,weak necessity,epistemic,?,negative,low,možet ne,
možet,weak,epistemic,?,negative,low,možet ne,
možet,strong,deontic,?,negative,low,možet ne,
možet,weak necessity,deontic,?,negative,low,možet ne,
možet,weak,deontic,?,negative,low,možet ne,
možet,strong,teleological,?,negative,low,možet ne,
možet,weak necessity,teleological,?,negative,low,možet ne,
možet,weak,teleological,?,negative,low,možet ne,
možet,strong,circumstantial,?,negative,low,možet ne,
možet,weak,circumstantial,?,negative,low,možet ne,
možet,strong,bouletic,?,negative,low,možet ne,
možet,strong,epistemic,1,negative,high,ne možet,
možet,weak necessity,epistemic,?,negative,high,ne možet,
možet,weak,epistemic,1,negative,high,ne možet,
možet,strong,deontic,?,negative,high,ne možet,
možet,weak necessity,deontic,?,negative,high,ne možet,
možet,weak,deontic,1,negative,high,ne možet,
možet,strong,teleological,?,negative,high,ne možet,
možet,weak necessity,teleological,?,negative,high,ne možet,
možet,weak,teleological,1,negative,high,ne možet,
možet,strong,circumstantial,1,negative,high,ne možet,
možet,weak,circumstantial,1,negative,high,ne možet,
možet,strong,bouletic,?,negative,high,ne možet,
dolžen,strong,epistemic,?,negative,high,ne dolžen,
dolžen,weak necessity,epistemic,?,negative,high,ne dolžen,
dolžen,weak,epistemic,?,negative,high,ne dolžen,
dolžen,strong,deontic,?,negative,high,ne dolžen,
dolžen,weak necessity,deontic,?,negative,high,ne dolžen,
dolžen,weak,deontic,?,negative,high,ne dolžen,
dolžen,strong,teleological,?,negative,high,ne dolžen,
dolžen,weak necessity,teleological,?,negative,high,ne dolžen,
dolžen,weak,teleological,?,negative,high,ne dolžen,
dolžen,strong,circumstantial,?,negative,high,ne dolžen,
dolžen,weak,circumstantial,1,negative,high,ne dolžen,
dolžen,strong,bouletic,?,negative,high,ne dolžen,
Nel’zya,strong,epistemic,?,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak necessity,epistemic,?,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,epistemic,0,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,deontic,?,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak necessity,deontic,?,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,deontic,1,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,teleological,?,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak necessity,teleological,?,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,teleological,?,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,circumstantial,?,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,weak,circumstantial,0,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
Nel’zya,strong,bouletic,?,negative,no,Nel’zya,"Debatably monomorphemic. However, it's diachronic use suggests it's origin was a negative marker + a verb. However, now it is a single unit."
nužno,strong,epistemic,?,negative,high,ne nužno,
nužno,weak necessity,epistemic,?,negative,high,ne nužno,
nužno,weak,epistemic,?,negative,high,ne nužno,
nužno,strong,deontic,1,negative,high,ne nužno,
nužno,weak necessity,deontic,?,negative,high,ne nužno,
nužno,weak,deontic,?,negative,high,ne nužno,
nužno,strong,teleological,1,negative,high,ne nužno,
nužno,weak necessity,teleological,?,negative,high,ne nužno,
nužno,weak,teleological,?,negative,high,ne nužno,
nužno,strong,circumstantial,?,negative,high,ne nužno,
nužno,weak,circumstantial,?,negative,high,ne nužno,
nužno,strong,bouletic,?,negative,high,ne nužno,
nado,strong,epistemic,?,negative,high,ne nado,
nado,weak necessity,epistemic,?,negative,high,ne nado,
nado,weak,epistemic,?,negative,high,ne nado,
nado,strong,deontic,1,negative,high,ne nado,
nado,weak necessity,deontic,?,negative,high,ne nado,
nado,weak,deontic,?,negative,high,ne nado,
nado,strong,teleological,?,negative,high,ne nado,
nado,weak necessity,teleological,?,negative,high,ne nado,
nado,weak,teleological,?,negative,high,ne nado,
nado,strong,circumstantial,?,negative,high,ne nado,
nado,weak,circumstantial,?,negative,high,ne nado,
nado,strong,bouletic,?,negative,high,ne nado,
