expression,force,flavor,can_express,notes
saka-,strong,ability,1,translates to 'be able to'
bidd-,weak,bouletic,1,"translates to 'want'(p286), put it as bouletic but not sure if it's also intentional, and can also express likelihood of anticipated future event"
bidd-,weak,intentional,?,
xallī,weak,deontic,1,"translates to 'allow', categorized as permissive"
lāzem,strong,deontic,1,"a impersonal particle(p287), not sure if it can also be epistemic"
