name,comm_cost,complexity,type,degree_iff,distance
explored-0,0.3174064445728225,22,explored,0.8571428571428571,0.19328351609943997
explored-1,0.3424032351242059,19,explored,0.8333333333333334,0.17493472857919712
explored-2,0.29426932890429436,20,explored,0.6666666666666666,0.16707842496117858
explored-3,0.3294924257012647,12,explored,0.8,0.10599103682931804
explored-4,0.4885583156813662,11,explored,0.3333333333333333,0.12287998519966836
explored-5,0.31407664163296756,25,explored,0.7142857142857143,0.22054046436639232
explored-6,0.4736263559920406,10,explored,0.6666666666666666,0.111990300830674
explored-7,0.26036250722125953,8,explored,1.0,0.04480346963805784
explored-8,0.40706239168110936,10,explored,0.6666666666666666,0.08930967430979223
explored-9,0.3780329289428078,12,explored,0.5,0.10769275539526045
explored-10,0.24146988734835362,24,explored,0.8333333333333334,0.17531524712749016
explored-11,0.21808203350664368,9,explored,1.0,0.03896334309721866
explored-12,0.4351270139290071,15,explored,0.5,0.14572237711141556
explored-13,0.33279976250080257,13,explored,0.75,0.11670085215520597
explored-14,0.45117425701264535,15,explored,0.5,0.14961537110419068
explored-15,0.3141247833622185,3,explored,1.0,0.028688716775911394
explored-16,0.26481762308235457,18,explored,0.6666666666666666,0.1382018629358476
explored-17,0.2500000000000001,10,explored,1.0,0.05804103515158111
explored-18,0.26527898132100924,23,explored,0.6,0.18168713791646426
explored-19,0.317073464278837,15,explored,0.8333333333333334,0.12961727356720784
explored-20,0.5302739264394378,9,explored,0.3333333333333333,0.09071866117552804
explored-21,0.3911314911098275,20,explored,0.8333333333333334,0.19238961790866893
explored-22,0.20873952917388805,21,explored,0.8333333333333334,0.13713063101458228
explored-23,0.10759074715963823,24,explored,0.8571428571428571,0.10110359511076984
explored-24,0.4072489408819566,15,explored,0.4,0.14108433445830615
explored-25,0.2661214615829002,26,explored,0.75,0.20248840872216292
explored-26,0.5261770652801849,8,explored,0.5,0.08202941670650042
explored-27,0.36949679857500495,25,explored,0.6666666666666666,0.23916179354733808
explored-28,0.3804009002503371,13,explored,0.6666666666666666,0.11826633279996496
explored-29,0.2763054432248542,31,explored,0.75,0.24173651124120488
explored-30,0.27888503755054894,11,explored,1.0,0.07894038308315787
explored-31,0.1698079145002891,28,explored,0.875,0.16339722180576186
explored-32,0.3341878490275372,17,explored,0.8333333333333334,0.15421618448501376
explored-33,0.5159950895436165,7,explored,0.6666666666666666,0.07625986914843459
explored-34,0.3608495410488479,17,explored,0.6,0.1609251938179238
explored-35,0.3389045349508957,12,explored,0.8,0.10879367372771084
explored-36,0.44480851627190465,12,explored,0.3333333333333333,0.11863084185838728
explored-37,0.4152805860453175,9,explored,0.3333333333333333,0.08100896190928805
explored-38,0.4067956062648437,8,explored,0.8,0.06897819625545201
explored-39,0.40114697669940313,10,explored,0.5,0.08834068082995206
explored-40,0.43372739344630606,12,explored,0.6,0.11543925689112983
explored-41,0.5210860774119008,11,explored,0.5,0.11288119160432018
explored-42,0.30367802811476996,18,explored,0.75,0.15096936057815843
explored-43,0.3930802281917969,18,explored,0.4,0.171406004216531
explored-44,0.18969044868091678,24,explored,0.8571428571428571,0.14485641271923222
explored-45,0.38406268053148485,17,explored,0.5,0.16053627499307976
explored-46,0.5416345721804995,7,explored,0.3333333333333333,0.06802764967875287
explored-47,0.6589940785673022,14,explored,0.6666666666666666,0.1526677993053622
explored-48,0.37985027922202985,9,explored,0.6666666666666666,0.07605177102704916
explored-49,0.39169715642852565,15,explored,0.8,0.13975232518237618
explored-50,0.49349183997689205,44,explored,0.25,0.4526051653163611
explored-51,0.4284438988381797,15,explored,0.5,0.14435701180710214
explored-52,0.4868693433468131,9,explored,0.75,0.10582118880660991
explored-53,0.4512400507092882,36,explored,0.2857142857142857,0.3650752966073019
explored-54,0.5525466974773735,9,explored,0.0,0.08662407730071166
explored-55,0.2850923117658387,30,explored,0.625,0.23950717945023836
explored-56,0.41295493934142136,17,explored,0.6,0.16259305799451304
explored-57,0.4205360581552091,29,explored,0.5,0.28886711213001665
explored-58,0.3523252455228193,10,explored,0.8,0.08853998258839595
explored-59,0.4224557096090893,8,explored,1.0,0.07343870157656994
explored-60,0.34818264972077806,28,explored,0.42857142857142855,0.26023402666577145
explored-61,0.4770845368765647,12,explored,0.6666666666666666,0.13042876723140376
explored-62,0.38901325502278716,12,explored,0.5,0.10803243318508549
explored-63,0.11544386674369367,17,explored,0.8,0.057032677422770614
explored-64,0.3395496341228579,16,explored,0.6,0.14749114008645373
explored-65,0.2691796649335646,17,explored,0.8333333333333334,0.13042144982745568
explored-66,0.20089543616406713,16,explored,1.0,0.09617469292621737
explored-67,0.500096283458502,13,explored,0.8,0.13812202775203147
explored-68,0.2963996004236473,22,explored,0.8571428571428571,0.1863956556862649
explored-69,0.4909252840362027,7,explored,0.6666666666666666,0.08757633630613702
explored-70,0.32969381860196445,11,explored,0.75,0.09635492631561159
explored-71,0.05394280762565007,29,explored,0.875,0.10971855305083503
explored-72,0.4503638712369217,14,explored,0.3333333333333333,0.139606344694391
explored-73,0.36776911226651277,10,explored,0.75,0.08687533720032842
explored-74,0.3649584376404136,12,explored,0.8,0.10808251404659433
explored-75,0.3579256932409014,17,explored,0.7142857142857143,0.16110338892023707
explored-76,0.3919458886963221,23,explored,0.75,0.22404135634551017
explored-77,0.5250818409397267,25,explored,0.6666666666666666,0.25664910363646465
explored-78,0.30795782784517634,26,explored,0.7142857142857143,0.2263509043455029
explored-79,0.29814172925091487,19,explored,0.8333333333333334,0.15857864133772726
explored-80,0.44410825470184223,10,explored,0.6,0.09960621400254605
explored-81,0.5176128522369858,17,explored,0.25,0.17450231984357437
explored-82,0.3876071153475834,10,explored,0.6666666666666666,0.08691132896878229
explored-83,0.43018138256169025,42,explored,0.4,0.4040749945573699
explored-84,0.24836318120546919,24,explored,0.7142857142857143,0.1794848931701927
explored-85,0.35885326400924333,18,explored,0.6,0.1715617286667317
explored-86,0.4113355719237436,16,explored,0.6666666666666666,0.1519855855682276
explored-87,0.4471620450606586,6,explored,0.6666666666666666,0.06797239205505809
explored-88,0.29982668977469695,12,explored,0.8,0.09609299950954182
explored-89,0.356712160600809,13,explored,1.0,0.11922738238928225
explored-90,0.4270688908145581,9,explored,0.6666666666666666,0.0844083471035568
explored-91,0.42297724500930767,14,explored,0.25,0.1331207092751272
explored-92,0.39256170164965676,16,explored,0.8571428571428571,0.15032429772040748
explored-93,0.41648613518197597,7,explored,0.6666666666666666,0.06203949509200079
explored-94,0.48871076449066075,17,explored,0.3333333333333333,0.18027309867005722
explored-95,0.29529173887926063,18,explored,0.8333333333333334,0.14814907702883087
explored-96,0.22237467103151698,20,explored,0.8333333333333334,0.13690634115799183
explored-97,0.5010109763142693,9,explored,1.0,0.10002786383750624
explored-98,0.37452851193914904,33,explored,0.7,0.31084059545488035
explored-99,0.38435153090699037,8,explored,1.0,0.06567722440690303
explored-100,0.3680796264201811,13,explored,0.75,0.11844548014426928
explored-101,0.44261907054368066,12,explored,0.75,0.11796213088072768
explored-102,0.5363068874767316,13,explored,0.8,0.13031264206476476
explored-103,0.3757943385326402,9,explored,1.0,0.07603946312730045
explored-104,0.24721981513575986,19,explored,0.8571428571428571,0.1426311908766722
explored-105,0.6015309069901792,13,explored,0.6666666666666666,0.1296535097366092
explored-106,0.3837507622440466,29,explored,0.5714285714285714,0.2812262171639456
explored-107,0.2969236432055975,17,explored,0.6666666666666666,0.13931303891464145
explored-108,0.4861933532319148,25,explored,0.5714285714285714,0.25772208746462644
explored-109,0.3056718980679122,24,explored,0.7142857142857143,0.20833032177943217
explored-110,0.41549602028371546,15,explored,0.6,0.1421622202824454
explored-111,0.16657038320816497,28,explored,0.75,0.16171482929197542
explored-112,0.40210981128442147,24,explored,0.5,0.2350465194537793
explored-113,0.45457827845176213,25,explored,0.4,0.25143046133793073
explored-114,0.6670909156556905,11,explored,0.0,0.12791790921200824
explored-115,0.2753586558829195,20,explored,0.8333333333333334,0.16058050523933165
explored-116,0.31036972848064726,8,explored,0.75,0.06162944238281612
explored-117,0.4435207250144426,12,explored,0.5,0.11823530127273013
explored-118,0.28982925733359033,23,explored,0.6,0.19378745418306784
explored-119,0.3465731112394892,29,explored,0.7777777777777778,0.268909961911848
explored-120,0.4584332875986906,35,explored,0.5,0.3554979731663873
explored-121,0.4557898453045768,22,explored,0.0,0.22094151421971192
explored-122,0.18919699595609485,20,explored,1.0,0.11954939716574466
explored-123,0.5064630271519354,12,explored,0.6666666666666666,0.12657425724026544
explored-124,0.3097759804865525,17,explored,0.8333333333333334,0.14406630612492854
explored-125,0.488518197573657,6,explored,1.0,0.08145994497300083
explored-126,0.517139659156557,8,explored,0.5,0.08495868742452346
explored-127,0.414885422684383,12,explored,0.6666666666666666,0.11118964964398129
explored-128,0.27661034084344327,17,explored,0.8,0.13283923317756782
explored-129,0.18348618332370514,29,explored,0.7777777777777778,0.17799912528087938
explored-130,0.3050500673984211,29,explored,0.7142857142857143,0.2444927454178937
explored-131,0.4527368573079146,45,explored,0.3,0.43813618864220233
explored-132,0.4304612780024394,15,explored,0.8,0.14475280787848704
explored-133,0.36358138359329883,9,explored,0.6,0.07671125799550331
explored-134,0.4942079080813917,52,explored,0.2222222222222222,0.5116950029209987
explored-135,0.24705131908338163,11,explored,0.8,0.06614146496526689
explored-136,0.4584994222992491,5,explored,0.5,0.06875313527773923
explored-137,0.7010669410745235,9,explored,0.3333333333333333,0.10614726805034864
explored-138,0.47976542942422506,28,explored,0.0,0.2866895069689867
explored-139,0.6370193850696451,10,explored,0.6666666666666666,0.10760471813436134
explored-140,0.3747472559214329,13,explored,0.75,0.11826176650586485
explored-141,0.434848193080429,8,explored,0.6666666666666666,0.0780086540210875
explored-142,0.6343876372039284,11,explored,0.5,0.11633219681014656
explored-143,0.1081263238975545,20,explored,0.8333333333333334,0.07178119750882356
explored-144,0.26402930226587085,23,explored,0.6666666666666666,0.1810388259246689
explored-145,0.3511999326015791,14,explored,0.8,0.1302430366785212
explored-146,0.42738933419988445,32,explored,0.42857142857142855,0.3208969572087061
explored-147,0.3880584440593108,25,explored,0.6666666666666666,0.24501792921366367
explored-148,0.5528114769882535,11,explored,0.6666666666666666,0.1074876963551357
explored-149,0.35508135952243425,9,explored,0.6666666666666666,0.07779435022355974
explored-150,0.3702339688041596,20,explored,0.8,0.19219517332665617
explored-151,0.5131487098016563,12,explored,0.6666666666666666,0.12479114461013101
explored-152,0.5847775852108609,11,explored,0.6666666666666666,0.10707611177537558
explored-153,0.5028062616342515,16,explored,0.3333333333333333,0.1672171611385755
explored-154,0.37659168592335857,12,explored,0.6666666666666666,0.10769338576733525
explored-155,0.2881763912959755,30,explored,0.7142857142857143,0.24124308558493857
explored-156,0.2123852622119522,17,explored,0.8333333333333334,0.10956747342596267
explored-157,0.26633809936452946,16,explored,1.0,0.12021260859267836
explored-158,0.50630656653187,14,explored,0.3333333333333333,0.14636929633950924
